Date,Channel Type,Per kWh,Renewables,Descriptor,Spike Status
2024-06-12,general,21.48293,21.243000000000002,veryLow,none
2024-06-12,general,21.2627,22.883,veryLow,none
2024-06-12,general,21.57161,24.072,veryLow,none
2024-06-12,general,20.62361,25.764,veryLow,none
2024-06-12,general,21.295,27.369,veryLow,none
2024-06-12,general,21.57161,28.560000000000002,veryLow,none
2024-06-12,general,20.78099,28.846,veryLow,none
2024-06-12,general,21.04804,28.407,veryLow,none
2024-06-12,general,21.29761,27.488,veryLow,none
2024-06-12,general,21.63791,27.358,veryLow,none
2024-06-12,general,21.31579,26.767999999999997,veryLow,none
2024-06-12,general,21.03695,25.75,veryLow,none
2024-06-12,general,21.86782,23.405,veryLow,none
2024-06-12,general,25.83048,21.012,veryLow,none
2024-06-12,general,27.63713,20.980999999999998,veryLow,none
2024-06-12,general,20.381,25.962000000000003,veryLow,none
2024-06-12,general,17.48079,34.643,veryLow,none
2024-06-12,general,18.58865,43.13,veryLow,none
2024-06-12,general,18.24683,51.585,veryLow,none
2024-06-12,general,18.91427,56.31,veryLow,none
2024-06-12,general,20.15479,59.257000000000005,veryLow,none
2024-06-12,general,17.98532,60.873,veryLow,none
2024-06-12,general,10.49786,62.157,extremelyLow,none
2024-06-12,general,9.86554,61.007999999999996,extremelyLow,none
2024-06-12,general,11.4325,61.987,extremelyLow,none
2024-06-12,general,12.05804,62.58200000000001,extremelyLow,none
2024-06-12,general,10.40648,59.963,extremelyLow,none
2024-06-12,general,18.74124,59.632,veryLow,none
2024-06-12,general,20.9482,54.957,veryLow,none
2024-06-12,general,23.66017,47.323,veryLow,none
2024-06-12,general,16.45578,41.876000000000005,veryLow,none
2024-06-12,general,26.85611,33.024,veryLow,none
2024-06-12,general,28.63189,23.677,veryLow,none
2024-06-12,general,43.82133,15.995000000000001,neutral,none
2024-06-12,general,39.04968,12.559000000000001,low,none
2024-06-12,general,46.33391,11.673,neutral,none
2024-06-12,general,48.79661,11.094999999999999,neutral,none
2024-06-12,general,45.15585,10.857,neutral,none
2024-06-12,general,38.29923,10.184,low,none
2024-06-12,general,36.27586,10.075000000000001,low,none
2024-06-12,general,34.11205,9.853000000000002,low,none
2024-06-12,general,32.12032,9.089,veryLow,none
2024-06-12,general,32.40452,8.895,veryLow,none
2024-06-12,general,32.91795,8.869,veryLow,none
2024-06-12,general,31.97248,8.324,veryLow,none
2024-06-12,general,38.72729,7.3069999999999995,low,none
2024-06-12,general,39.30596,6.441,low,none
2024-06-12,general,35.84311,6.4079999999999995,low,none
2024-06-13,general,35.07383,5.861000000000001,low,none
2024-06-13,general,25.98409,6.237,veryLow,none
2024-06-13,general,26.05481,5.531,veryLow,none
2024-06-13,general,26.02034,4.723999999999999,veryLow,none
2024-06-13,general,26.18513,4.605,veryLow,none
2024-06-13,general,27.00504,5.1819999999999995,veryLow,none
2024-06-13,general,26.27474,5.2010000000000005,veryLow,none
2024-06-13,general,27.04016,4.918,veryLow,none
2024-06-13,general,27.03835,4.883,veryLow,none
2024-06-13,general,27.07215,5.156000000000001,veryLow,none
2024-06-13,general,31.50712,5.507,veryLow,none
2024-06-13,general,37.0001,5.546,low,none
2024-06-13,general,45.06293,5.768,neutral,none
2024-06-13,general,49.72647,5.109,neutral,none
2024-06-13,general,50.17978,5.851,neutral,none
2024-06-13,general,49.12388,10.947,neutral,none
2024-06-13,general,23.10729,18.279999999999998,veryLow,none
2024-06-13,general,24.71421,25.546000000000003,veryLow,none
2024-06-13,general,28.84573,29.464000000000002,veryLow,none
2024-06-13,general,19.66605,34.827999999999996,veryLow,none
2024-06-13,general,26.96253,37.54,veryLow,none
2024-06-13,general,38.81195,35.882,low,none
2024-06-13,general,27.74533,37.899,veryLow,none
2024-06-13,general,27.06222,37.617,veryLow,none
2024-06-13,general,29.25781,35.741,veryLow,none
2024-06-13,general,31.14429,35.760999999999996,veryLow,none
2024-06-13,general,45.95262,29.688,neutral,none
2024-06-13,general,48.51478,25.149,neutral,none
2024-06-13,general,49.07374,21.083,neutral,none
2024-06-13,general,48.35313,17.423,neutral,none
2024-06-13,general,49.20587,13.267999999999999,neutral,none
2024-06-13,general,49.44427,7.837,neutral,none
2024-06-13,general,56.36849,3.053,high,none
2024-06-13,general,72.43814,0.526,high,none
2024-06-13,general,93.94062,0.064,high,none
2024-06-13,general,111.78836,0.053,high,none
2024-06-13,general,75.87576,0.027999999999999997,high,none
2024-06-13,general,56.31734,0.064,high,none
2024-06-13,general,49.7383,0.048,neutral,none
2024-06-13,general,49.8635,0.1,neutral,none
2024-06-13,general,49.99829,0.14300000000000002,neutral,none
2024-06-13,general,48.4047,0.271,neutral,none
2024-06-13,general,45.91075,0.307,neutral,none
2024-06-13,general,35.89175,0.622,low,none
2024-06-13,general,39.27174,0.804,low,none
2024-06-13,general,40.75938,1.4789999999999999,low,none
2024-06-13,general,40.56667,1.4120000000000001,low,none
2024-06-13,general,42.41927,1.106,low,none
2024-06-14,general,34.68775,1.5779999999999998,low,none
2024-06-14,general,35.13155,2.357,low,none
2024-06-14,general,32.82839,2.297,veryLow,none
2024-06-14,general,36.80383,2.102,low,none
2024-06-14,general,36.5532,1.8579999999999999,low,none
2024-06-14,general,38.92659,1.8030000000000002,low,none
2024-06-14,general,39.24536,1.8579999999999999,low,none
2024-06-14,general,34.82787,2.005,low,none
2024-06-14,general,34.65443,1.7229999999999999,low,none
2024-06-14,general,38.11264,1.77,low,none
2024-06-14,general,38.28356,1.918,low,none
2024-06-14,general,38.36069,2.251,low,none
2024-06-14,general,35.82461,2.138,low,none
2024-06-14,general,51.11644,2.092,neutral,none
2024-06-14,general,53.32706,2.9690000000000003,neutral,none
2024-06-14,general,50.28092,5.792,neutral,none
2024-06-14,general,45.41897,10.183,neutral,none
2024-06-14,general,38.07122,13.261000000000001,low,none
2024-06-14,general,45.00512,16.150000000000002,neutral,none
2024-06-14,general,37.69956,19.580000000000002,low,none
2024-06-14,general,36.95144,22.442999999999998,low,none
2024-06-14,general,39.70452,24.160999999999998,low,none
2024-06-14,general,41.54989,25.246000000000002,low,none
2024-06-14,general,40.36463,26.151999999999997,low,none
2024-06-14,general,39.64512,25.637,low,none
2024-06-14,general,43.58215,22.016,neutral,none
2024-06-14,general,42.59744,20.604,low,none
2024-06-14,general,42.77224,19.212,low,none
2024-06-14,general,48.90884,15.834000000000001,neutral,none
2024-06-14,general,42.68379,12.028,low,none
2024-06-14,general,39.83736,9.135,low,none
2024-06-14,general,48.01433,5.8500000000000005,neutral,none
2024-06-14,general,48.8973,3.101,neutral,none
2024-06-14,general,49.7383,1.7489999999999999,neutral,none
2024-06-14,general,50.1119,1.484,neutral,none
2024-06-14,general,49.73791,1.846,neutral,none
2024-06-14,general,44.87093,2.555,neutral,none
2024-06-14,general,43.48073,2.899,low,none
2024-06-14,general,39.19509,2.864,low,none
2024-06-14,general,37.54463,3.08,low,none
2024-06-14,general,36.0294,3.2079999999999997,low,none
2024-06-14,general,35.59765,3.306,low,none
2024-06-14,general,41.52363,3.1489999999999996,low,none
2024-06-14,general,36.43141,3.351,low,none
2024-06-14,general,41.84901,3.628,low,none
2024-06-14,general,35.30183,3.688,low,none
2024-06-14,general,39.72054,3.537,low,none
2024-06-14,general,35.81672,3.6089999999999995,low,none
2024-06-15,general,32.88791,4.101,veryLow,none
2024-06-15,general,31.6446,4.21,veryLow,none
2024-06-15,general,30.00735,4.093,veryLow,none
2024-06-15,general,27.22253,5.026,veryLow,none
2024-06-15,general,28.01435,6.173,veryLow,none
2024-06-15,general,25.81694,7.3340000000000005,veryLow,none
2024-06-15,general,23.90717,10.644,veryLow,none
2024-06-15,general,25.68223,10.41,veryLow,none
2024-06-15,general,25.47957,9.639000000000001,veryLow,none
2024-06-15,general,26.66338,8.732,veryLow,none
2024-06-15,general,26.78723,7.539,veryLow,none
2024-06-15,general,25.46975,7.104000000000001,veryLow,none
2024-06-15,general,26.61836,7.268,veryLow,none
2024-06-15,general,30.70692,6.142,veryLow,none
2024-06-15,general,30.78434,6.148,veryLow,none
2024-06-15,general,29.91581,7.532,veryLow,none
2024-06-15,general,30.46421,10.588000000000001,veryLow,none
2024-06-15,general,30.52203,14.621999999999998,veryLow,none
2024-06-15,general,28.52851,18.232,veryLow,none
2024-06-15,general,23.74246,24.279,veryLow,none
2024-06-15,general,22.67962,26.848,veryLow,none
2024-06-15,general,19.97895,31.871,veryLow,none
2024-06-15,general,22.72031,32.003,veryLow,none
2024-06-15,general,25.02853,31.535000000000004,veryLow,none
2024-06-15,general,25.0293,31.655,veryLow,none
2024-06-15,general,23.88564,31.508000000000003,veryLow,none
2024-06-15,general,23.35862,28.871000000000002,veryLow,none
2024-06-15,general,22.38427,27.145000000000003,veryLow,none
2024-06-15,general,24.57095,21.666,veryLow,none
2024-06-15,general,22.40244,17.916999999999998,veryLow,none
2024-06-15,general,24.62444,14.581,veryLow,none
2024-06-15,general,30.72524,9.841999999999999,veryLow,none
2024-06-15,general,37.51539,5.888,low,none
2024-06-15,general,40.03947,2.7369999999999997,low,none
2024-06-15,general,42.60013,1.872,low,none
2024-06-15,general,48.67247,1.822,neutral,none
2024-06-15,general,48.16162,1.8030000000000002,neutral,none
2024-06-15,general,45.31274,1.7999999999999998,neutral,none
2024-06-15,general,37.00073,1.905,low,none
2024-06-15,general,35.76261,1.905,low,none
2024-06-15,general,41.16207,1.788,low,none
2024-06-15,general,39.81188,2.383,low,none
2024-06-15,general,36.45394,3.334,low,none
2024-06-15,general,36.26064,4.013,low,none
2024-06-15,general,39.78219,4.5120000000000005,low,none
2024-06-15,general,38.15735,4.8469999999999995,low,none
2024-06-15,general,33.53843,5.431,low,none
2024-06-15,general,29.11693,5.7509999999999994,veryLow,none
2024-06-12,controlledLoad,13.61364,21.243000000000002,veryLow,none
2024-06-12,controlledLoad,13.39341,22.883,veryLow,none
2024-06-12,controlledLoad,13.70232,24.072,veryLow,none
2024-06-12,controlledLoad,12.75432,25.764,veryLow,none
2024-06-12,controlledLoad,13.42571,27.369,veryLow,none
2024-06-12,controlledLoad,13.70232,28.560000000000002,veryLow,none
2024-06-12,controlledLoad,12.9117,28.846,veryLow,none
2024-06-12,controlledLoad,13.17875,28.407,veryLow,none
2024-06-12,controlledLoad,13.42832,27.488,veryLow,none
2024-06-12,controlledLoad,13.76862,27.358,veryLow,none
2024-06-12,controlledLoad,13.4465,26.767999999999997,veryLow,none
2024-06-12,controlledLoad,13.16766,25.75,veryLow,none
2024-06-12,controlledLoad,13.99853,23.405,veryLow,none
2024-06-12,controlledLoad,17.96119,21.012,veryLow,none
2024-06-12,controlledLoad,19.76784,20.980999999999998,veryLow,none
2024-06-12,controlledLoad,12.51171,25.962000000000003,veryLow,none
2024-06-12,controlledLoad,9.6115,34.643,veryLow,none
2024-06-12,controlledLoad,10.71936,43.13,veryLow,none
2024-06-12,controlledLoad,10.37754,51.585,veryLow,none
2024-06-12,controlledLoad,11.04498,56.31,veryLow,none
2024-06-12,controlledLoad,12.2855,59.257000000000005,veryLow,none
2024-06-12,controlledLoad,10.11603,60.873,veryLow,none
2024-06-12,controlledLoad,2.62857,62.157,extremelyLow,none
2024-06-12,controlledLoad,1.99625,61.007999999999996,extremelyLow,none
2024-06-12,controlledLoad,3.56321,61.987,extremelyLow,none
2024-06-12,controlledLoad,4.18875,62.58200000000001,extremelyLow,none
2024-06-12,controlledLoad,2.53719,59.963,extremelyLow,none
2024-06-12,controlledLoad,10.87195,59.632,veryLow,none
2024-06-12,controlledLoad,13.07891,54.957,veryLow,none
