type,date,duration,startTime,endTime,nemTime,perKwh,renewables,spotPerKwh,channelType,spikeStatus,tariffInformation,descriptor
ActualInterval,2024-06-24,30,2024-06-23T14:00:01Z,2024-06-23T14:30:00Z,2024-06-24T00:30:00+10:00,29.13757,1.764,13.4489,general,none,{'period': 'offPeak'},veryLow
ActualInterval,2024-06-24,30,2024-06-23T14:30:01Z,2024-06-23T15:00:00Z,2024-06-24T01:00:00+10:00,29.84404,1.335,14.11933,general,none,{'period': 'offPeak'},veryLow
ActualInterval,2024-06-24,30,2024-06-23T15:00:01Z,2024-06-23T15:30:00Z,2024-06-24T01:30:00+10:00,28.75392,0.967,13.08482,general,none,{'period': 'offPeak'},veryLow
ActualInterval,2024-06-24,30,2024-06-23T15:30:01Z,2024-06-23T16:00:00Z,2024-06-24T02:00:00+10:00,25.90977,1.161,10.38576,general,none,{'period': 'offPeak'},veryLow
ActualInterval,2024-06-24,30,2024-06-23T16:00:01Z,2024-06-23T16:30:00Z,2024-06-24T02:30:00+10:00,24.05951,1.959,8.62989,general,none,{'period': 'offPeak'},veryLow
ActualInterval,2024-06-24,30,2024-06-23T16:30:01Z,2024-06-23T17:00:00Z,2024-06-24T03:00:00+10:00,24.48993,2.447,9.03835,general,none,{'period': 'offPeak'},veryLow
ActualInterval,2024-06-24,30,2024-06-23T17:00:01Z,2024-06-23T17:30:00Z,2024-06-24T03:30:00+10:00,25.63459,2.836,10.12462,general,none,{'period': 'offPeak'},veryLow
ActualInterval,2024-06-24,30,2024-06-23T17:30:01Z,2024-06-23T18:00:00Z,2024-06-24T04:00:00+10:00,26.92717,3.103,11.35126,general,none,{'period': 'offPeak'},veryLow
ActualInterval,2024-06-24,30,2024-06-23T18:00:01Z,2024-06-23T18:30:00Z,2024-06-24T04:30:00+10:00,27.20884,2.9610000000000003,11.61856,general,none,{'period': 'offPeak'},veryLow
ActualInterval,2024-06-24,30,2024-06-23T18:30:01Z,2024-06-23T19:00:00Z,2024-06-24T05:00:00+10:00,27.68756,3.198,12.07286,general,none,{'period': 'offPeak'},veryLow
ActualInterval,2024-06-24,30,2024-06-23T19:00:01Z,2024-06-23T19:30:00Z,2024-06-24T05:30:00+10:00,40.6489,3.212,24.373,general,none,{'period': 'offPeak'},low
ActualInterval,2024-06-24,30,2024-06-23T19:30:01Z,2024-06-23T20:00:00Z,2024-06-24T06:00:00+10:00,44.44518,3.108,27.97562,general,none,{'period': 'offPeak'},neutral
ActualInterval,2024-06-24,30,2024-06-23T20:00:01Z,2024-06-23T20:30:00Z,2024-06-24T06:30:00+10:00,52.98177,2.53,36.07673,general,none,{'period': 'offPeak'},neutral
ActualInterval,2024-06-24,30,2024-06-23T20:30:01Z,2024-06-23T21:00:00Z,2024-06-24T07:00:00+10:00,75.80609,1.035,57.73671,general,none,{'period': 'offPeak'},high
ActualInterval,2024-06-24,30,2024-06-23T21:00:01Z,2024-06-23T21:30:00Z,2024-06-24T07:30:00+10:00,88.37619,1.448,69.66557,general,none,"{'period': 'shoulder', 'season': 'nonSummer'}",high
ActualInterval,2024-06-24,30,2024-06-23T21:30:01Z,2024-06-23T22:00:00Z,2024-06-24T08:00:00+10:00,52.56204,4.758,35.67841,general,none,"{'period': 'shoulder', 'season': 'nonSummer'}",neutral
