type,duration,date,startTime,endTime,nemTime,quality,kwh,perKwh,channelType,channelIdentifier,cost,renewables,spotPerKwh,spikeStatus,tariffInformation,descriptor
Usage,30,2024-10-07,2024-10-06T14:00:01Z,2024-10-06T14:30:00Z,2024-10-07T00:30:00+10:00,billable,0.18,22.25393,general,E1,4.0057,21.394,5.49984,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",veryLow
Usage,30,2024-10-07,2024-10-06T14:30:01Z,2024-10-06T15:00:00Z,2024-10-07T01:00:00+10:00,billable,0.131,23.42563,general,E1,3.0688,20.681,6.61743,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",veryLow
Usage,30,2024-10-07,2024-10-06T15:00:01Z,2024-10-06T15:30:00Z,2024-10-07T01:30:00+10:00,billable,0.063,23.41821,general,E1,1.4753,20.244999999999997,6.61035,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",veryLow
Usage,30,2024-10-07,2024-10-06T15:30:01Z,2024-10-06T16:00:00Z,2024-10-07T02:00:00+10:00,billable,0.068,23.84613,general,E1,1.6215,20.016000000000002,7.01851,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",veryLow
Usage,30,2024-10-07,2024-10-06T16:00:01Z,2024-10-06T16:30:00Z,2024-10-07T02:30:00+10:00,billable,0.071,24.7829,general,E1,1.7596,20.077,7.91201,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",veryLow
Usage,30,2024-10-07,2024-10-06T16:30:01Z,2024-10-06T17:00:00Z,2024-10-07T03:00:00+10:00,billable,0.071,24.32902,general,E1,1.7274,19.814,7.47909,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",veryLow
Usage,30,2024-10-07,2024-10-06T17:00:01Z,2024-10-06T17:30:00Z,2024-10-07T03:30:00+10:00,billable,0.063,25.03154,general,E1,1.577,18.547,8.14917,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",veryLow
Usage,30,2024-10-07,2024-10-06T17:30:01Z,2024-10-06T18:00:00Z,2024-10-07T04:00:00+10:00,billable,0.065,24.96293,general,E1,1.6226,18.372,8.08373,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",veryLow
Usage,30,2024-10-07,2024-10-06T18:00:01Z,2024-10-06T18:30:00Z,2024-10-07T04:30:00+10:00,billable,0.07,23.2814,general,E1,1.6297,19.402,6.47986,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",veryLow
Usage,30,2024-10-07,2024-10-06T18:30:01Z,2024-10-06T19:00:00Z,2024-10-07T05:00:00+10:00,billable,0.07,23.31069,general,E1,1.6317,20.892,6.50779,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",veryLow
Usage,30,2024-10-07,2024-10-06T19:00:01Z,2024-10-06T19:30:00Z,2024-10-07T05:30:00+10:00,billable,0.067,23.34884,general,E1,1.5644,22.477,6.54418,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",veryLow
Usage,30,2024-10-07,2024-10-06T19:30:01Z,2024-10-06T20:00:00Z,2024-10-07T06:00:00+10:00,billable,0.063,22.92879,general,E1,1.4445,26.417,6.14353,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",veryLow
Usage,30,2024-10-07,2024-10-06T20:00:01Z,2024-10-06T20:30:00Z,2024-10-07T06:30:00+10:00,billable,0.068,20.29457,general,E1,1.38,40.044999999999995,3.63097,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",veryLow
Usage,30,2024-10-07,2024-10-06T20:30:01Z,2024-10-06T21:00:00Z,2024-10-07T07:00:00+10:00,billable,0.07,14.4712,general,E1,1.013,60.912,-1.92346,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",extremelyLow
Usage,30,2024-10-07,2024-10-06T21:00:01Z,2024-10-06T21:30:00Z,2024-10-07T07:30:00+10:00,billable,0.07,12.23089,general,E1,0.8562,75.41799999999999,-4.0603,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",extremelyLow
Usage,30,2024-10-07,2024-10-06T21:30:01Z,2024-10-06T22:00:00Z,2024-10-07T08:00:00+10:00,billable,0.063,12.4521,general,E1,0.7845,82.15599999999999,-3.84931,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",extremelyLow
Usage,30,2024-10-07,2024-10-06T22:00:01Z,2024-10-06T22:30:00Z,2024-10-07T08:30:00+10:00,billable,0.065,11.85157,general,E1,0.7704,85.22999999999999,-4.4221,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",extremelyLow
Usage,30,2024-10-07,2024-10-06T22:30:01Z,2024-10-06T23:00:00Z,2024-10-07T09:00:00+10:00,billable,0.071,11.53937,general,E1,0.8193,84.709,-4.71988,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",extremelyLow
Usage,30,2024-10-07,2024-10-06T23:00:01Z,2024-10-06T23:30:00Z,2024-10-07T09:30:00+10:00,billable,0.071,11.15841,general,E1,0.7922,82.61,-5.08325,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",extremelyLow
Usage,30,2024-10-07,2024-10-06T23:30:01Z,2024-10-07T00:00:00Z,2024-10-07T10:00:00+10:00,billable,0.071,10.67825,general,E1,0.7582,82.833,-5.54123,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",extremelyLow
Usage,30,2024-10-07,2024-10-07T00:00:01Z,2024-10-07T00:30:00Z,2024-10-07T10:30:00+10:00,billable,0.074,10.72904,general,E1,0.7939,81.575,-5.49279,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",extremelyLow
Usage,30,2024-10-07,2024-10-07T00:30:01Z,2024-10-07T01:00:00Z,2024-10-07T11:00:00+10:00,billable,0.063,10.88575,general,E1,0.6858,81.915,-5.34332,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",extremelyLow
Usage,30,2024-10-07,2024-10-07T01:00:01Z,2024-10-07T01:30:00Z,2024-10-07T11:30:00+10:00,billable,0.069,10.56814,general,E1,0.7292,82.36,-5.64626,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",extremelyLow
Usage,30,2024-10-07,2024-10-07T01:30:01Z,2024-10-07T02:00:00Z,2024-10-07T12:00:00+10:00,billable,0.07,10.69054,general,E1,0.7483,82.528,-5.52951,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",extremelyLow
Usage,30,2024-10-07,2024-10-07T02:00:01Z,2024-10-07T02:30:00Z,2024-10-07T12:30:00+10:00,billable,0.069,10.7764,general,E1,0.7436,83.159,-5.44762,none,"{'period': 'offPeak', 'season': 'default', 'demandWindow': False}",extremelyLow
